#item+conceptum+codicem,#item+rem+i_fr+i_fra+is_latn,#item+rem+i_en+i_eng+is_latn
CMU_1:1,depuis combien ressentez-vous ces symptômes ?,about how long have these symptoms been going on?
PubMed_7:188,"Toutefois, la COVID-19 présente une sévérité et une mortalité moindres que le SRAS, mais elle est bien plus transmissive, et elle affecte davantage les personnes âgées que les jeunes et davantage les hommes que les femmes.","However, COVID-19 has lower severity and mortality than SARS but is much more transmissive and affects more elderly individuals than youth and more men than women."
PubMed_7:189,"En réponse à l’augmentation rapide du nombre de publications sur cette maladie émergente, cet article s’efforce de fournir un examen opportun et exhaustif de ce sujet de recherche en plein essor.","In response to the rapidly increasing number of publications on the emerging disease, this article attempts to provide a timely and comprehensive review of the swiftly developing research subject."
PubMed_7:190,"Nous aborderons les fondamentaux de l’épidémiologie, de l’étiologie, de la virologie, du diagnostic, du traitement, du pronostic et de la prévention de la maladie.","We will cover the basics about the epidemiology, etiology, virology, diagnosis, treatment, prognosis, and prevention of the disease."
PubMed_7:191,"Bien que nombre de questions attendent encore des réponses, nous espérons que cet examen participera à mieux appréhender et à éradiquer cette grave maladie.","Although many questions still require answers, we hope that this review helps in the understanding and eradication of the threatening disease."
PubMed_7:192,"Le Festival du printemps, le 25 janvier 2020, a marqué à tout jamais les Chinois, qui se sont vus contraints de rester cloîtrés pour toute la durée de la semaine d’or ainsi que pour de longues autres semaines en raison de la propagation d’une nouvelle maladie virale.","The Spring Festival on January 25, 2020 has become an unprecedented and unforgettable memory to all Chinese who were urged to stay indoors for all the holiday and for many weeks after due to the outbreak of a novel viral disease."
PubMed_7:193,"Le virus est hautement homologue au coronavirus (CoV) qui causa une épidémie de syndrome respiratoire aigu sévère (SRAS) en 2003 ; c’est pourquoi il a été baptisé SARS-CoV-2 par l’Organisation mondiale de la santé (OMS) le 11 février 2020, et la maladie associée dénommée maladie à coronavirus 19 (COVID-19).","The virus is highly homologous to the coronavirus (CoV) that caused an outbreak of severe acute respiratory syndrome (SARS) in 2003; thus, it was named SARS-CoV-2 by the World Health Organization (WHO) on February 11, 2020, and the associated disease was named CoV Disease-19 (COVID-19)."
PubMed_7:194,L’épidémie a débuté à Wuhan et s’est rapidement propagée à toute la Chine avant de s’étendre à près de 50 autres pays à travers le monde.,"The epidemic started in Wuhan, China, and quickly spread throughout the entire country and to near 50 others all over the world."
PubMed_7:195,"Au 2 mars 2020, le virus avait entraîné plus de 80 000 cas confirmés de COVID-19, avec plus de 40 000 patients ayant été hospitalisés et plus de 3 000 décès.","As of March 2, 2020, the virus has resulted in over 80,000 confirmed cases of COVID-19, with more than 40,000 patients discharged and over 3,000 patients who died."
PubMed_7:196,"Pour l’OMS, la COVID-19 est « l’ennemie publique numéro 1 », potentiellement plus dangereuse que le terrorisme.",WHO warns that COVID-19 is “public enemy number 1” and potentially more powerful than terrorism.
PubMed_7:197,"Selon PubMed (https://www.ncbi.nlm.nih.gov/pubmed/), en moins de deux mois, plus de 200 travaux ont été publiés sur la COVID-19, notamment dans les domaines de la virologie, de l’épidémiologie, de l’étiologie, du diagnostic et du traitement, depuis le premier rapport le 7 janvier 2020 présentant la séquence du virus, isolée à partir de plusieurs patients.","According to PubMed (https://www.ncbi.nlm.nih.gov/pubmed/), in less than two months, over 200 papers have been published on COVID-19 including its virology, epidemiology, etiology, diagnosis, and treatment since the first report on January 7, 2020 that determined the sequence of the virus isolated from multiple patients."
PubMed_7:198,Cet examen tente de synthétiser les progrès de la recherche sur ce nouveau sujet en plein essor.,This review attempts to summarize the research progress in the new and swiftly developing subject area.
PubMed_7:199,"Dès que possible, nous tenterons de comparer la COVID-19 avec le SRAS et une autre maladie à coronavirus, le syndrome respiratoire du Moyen-Orient (MERS, une épidémie ayant eu lieu en 2012).","Whenever possible, we will try to compare COVID-19 with SARS and another CoV-caused disease, Middle East respiratory syndrome (MERS, an outbreak in 2012)."
PubMed_7:200,"Nous ferons également le point sur ce que nous avons appris jusqu’ici en termes de prévention et de pronostic de la maladie, et aborderons certaines questions encore en suspens mais pourtant urgentes.",We will also discuss what we have learned so far regarding the prevention and prognosis of the disease as well as some remaining yet urgent questions.
PubMed_7:201,"Les coronavirus sont traditionnellement considérés comme des pathogènes non mortels pour l’Homme, causant principalement 15 % environ des rhumes communs 4.","CoVs have been traditionally considered nonlethal pathogens to humans, mainly causing approximately 15% of common colds 4."
PubMed_7:202,"Cependant, au cours de ce siècle, nous avons connu deux coronavirus hautement pathogènes pour l’Homme, à savoir le SARS-CoV et le MERS-CoV, qui ont provoqué une épidémie ayant débuté en Chine en 2003 et en Arabie Saoudite en 2012, respectivement, avant de se propager rapidement à de nombreux autres pays avec une morbidité et une mortalité élevées.","However, in this century, we have encountered highly pathogenic human CoVs twice, i.e., SARS-CoV and MERS-CoV, which caused an outbreak originally in China in 2003 and Saudi Arabia in 2012, respectively, and soon spread to many other countries with horrible morbidity and mortality."
PubMed_7:203,La COVID-19 actuelle constitue donc la troisième épidémie de coronavirus de l’Histoire récente.,"Therefore, the current COVID-19 is the third CoV outbreak in the recorded history of humans."
PubMed_7:204,"Comme présenté en ​Fig. ​Fig.1,1, des foyers de pneumonie alors d’origine inconnue ont d’abord été rapportés à Wuhan le 31 décembre 2019 auprès de la Commission nationale chinoise de la santé.","As shown in Fig. ​Fig.1,1, clusters of pneumonia that had unknown origins were first reported from Wuhan on December 31, 2019 to the China National Health Commission."
PubMed_7:205,"Sept jours plus tard, la séquence du coronavirus était dévoilée.",Seven days later the sequence of the CoV was released.
PubMed_7:206,"Le 15 janvier 2020, le premier cas fatal était rapporté à Wuhan.","On January 15, 2020 the first fatal case from Wuhan was reported."
PubMed_7:207,"Entre-temps, l’épidémie s’était rapidement propagée aux villes, provinces et pays voisins.","Meanwhile, the epidemic rapidly spread to the neighboring cities, provinces, and countries."
PubMed_7:208,"Le 20 janvier, il était rapporté que des professionnels de santé avaient été infectés, suggérant que la transmission interhumaine était possible.","On January 20, the infection of health-care providers was reported, suggesting that human-to-human transmission was possible."
PubMed_7:209,"Le 23 janvier, la ville de Wuhan était placée en quarantaine avec interruption de l’ensemble de ses transports publics.","On January 23, the city of Wuhan was locked down with all its public transportation stopped."
PubMed_7:210,"Le 24 janvier, la première étude clinique sur la maladie indiquait que, sur 41 cas confirmés, seuls 21 patients avaient été en contact direct avec le marché de fruits de mer de Wuhan, considéré comme le point de départ de l’infection avec une source animale inconnue.","On January 24 the first clinical study on the disease reported that, out of 41 patients with confirmed cases, only 21 had direct contact with the Wuhan seafood market that was considered the starting site of the infection from an unknown animal source."
PubMed_7:211,"Le 30 janvier, l’OMS qualifiait l’épidémie d’urgence sanitaire mondiale.","On January 30, WHO declared the outbreak a global health emergency."
PubMed_7:212,"Au moment de la rédaction de ce rapport, la maladie s’était déjà propagée à toute la Chine ainsi qu’à près de 50 autres pays à travers le monde (Fig. ​(Fig.2).2).","By the time of this report, the disease has already spread throughout China and near 50 other countries all over the world (Fig. ​(Fig.2).2)."
PubMed_7:213,"Dans la mesure où la situation évolue rapidement, la portée finale et la sévérité de l’épidémie restent à déterminer.","As the situation is rapidly evolving, the final scope and severity of the outbreak remain to be determined."
PubMed_7:214,"Le 11 février 2020, une étude multicentrique menée sur 8 866 patients, dont 4 021 cas confirmés de COVID-19, présentait une vue d’ensemble actualisée de l’épidémie comme suit (https://mp.weixin.qq.com/s/UlBi-HX_rHPXa1qHA2bhdA).","On February 11, 2020, a multi-center study on 8,866 patients including 4,021 confirmed COVID-19 patients presented a more updated illustration of the epidemic as follows (https://mp.weixin.qq.com/s/UlBi-HX_rHPXa1qHA2bhdA)."
PubMed_7:215,"Le SARS-CoV-2 infectait des personnes de tout âge, mais plus majoritairement dans la tranche des 30-65 ans.","SARS-CoV-2 infected people of all ages, but mainly at the age of 30-65."
PubMed_7:216,"Près de la moitié (47,7 %) des personnes infectées étaient âgées de plus de 50 ans, très peu avaient moins de 20 ans, et seulement 14 étaient âgées de moins de 10 ans.","Almost half (47.7%) of the infected individuals were over 50 years old, very few were under 20, and only 14 infected individuals were under the age of 10."
